target_id	length	eff_length	est_counts	tpm
F32A6.4f.4	1117	834.363	489.05	17.9023
F32A6.4f.5	1015	732.363	31.6408	1.31957
F32A6.4g.1	306	72.0384	0	0
Y62E10A.5a.1	776	493.629	247.577	15.3187
Y62E10A.5b.1	402	138.726	34.4226	7.57874
F09E5.13.1	1463	1180.36	277	7.16763
C25A1.11.1	1603	1320.36	1346	31.136
C41G7.5a.1	1871	1588.36	146	2.80747
C41G7.5b.1	1771	1488.36	0	0
F58E10.4.1	1059	776.363	706	27.7748
K07C11.2.1	1338	1055.36	207	5.99073
B0207.4.1	1112	829.363	9.25608e-06	3.40874e-07
B0207.4.2	1191	908.363	113	3.79954
C25A11.4a.1	6044	5761.36	0	0
C25A11.4a.2	5558	5275.36	0	0
C25A11.4a.3	5394	5111.36	0	0
C25A11.4a.4	5013	4730.36	2688.6	17.3598
C25A11.4b.1	5046	4763.36	5023.29	32.2096
C25A11.4c.1	5141	4858.36	1667.13	10.4807
C25A11.4d.1	5898	5615.36	1121.96	6.10256
C25A11.4e.1	3534	3251.36	0	0
C25A11.4f.1	5718	5435.36	0	0
C25A11.4g.1	4464	4181.36	14.7909	0.108041
C25A11.4h.1	4148	3865.36	979.555	7.74016
C25A11.4i.1	3903	3620.36	2.45886e-07	2.07441e-09
C25A11.4j.1	3831	3548.36	0	0
C25A11.4k.1	4935	4652.36	0	0
C25A11.4l.1	4710	4427.36	2025.64	13.9742
C25A11.4m.1	4578	4295.36	220.041	1.56464
D1022.7a.1	4264	3981.36	29.6295	0.227303
D1022.7b.1	4279	3996.36	2563.37	19.5911
D1022.7c.1	1948	1665.36	0	0
C12D8.10a.1	2069	1786.36	765.224	13.0837
C12D8.10b.1	2086	1803.36	2004.93	33.9569
C12D8.10c.1	765	482.629	81.8462	5.17961
F28H6.1a.1	2002	1719.36	1430.56	25.4126
F28H6.1b.1	2381	2098.36	86.4425	1.25822
F48F7.1a.1	4592	4309.36	0.00974871	6.90949e-05
F48F7.1a.2	5005	4722.36	6845.45	44.2746
F48F7.1a.3	6283	6000.36	302.02	1.53734
F48F7.1b.1	3072	2789.36	0.516651	0.00565723
T07D3.7a.1	4142	3859.36	510.914	4.04337
T07D3.7b.1	3160	2877.36	1926.09	20.4453
F54D8.3a.1	1690	1407.36	8980.82	194.904
F54D8.3b.1	1675	1392.36	2200.88	48.2786
F54D8.3b.2	1592	1309.36	497.304	11.6004
K04F1.15.1	1641	1358.36	0	0
F36H1.6.1	2864	2581.36	2183	25.8295
T05H4.13a.1	1582	1299.36	434.351	10.2099
T05H4.13b.1	1922	1639.36	2188.34	40.771
T05H4.13c.1	2304	2021.36	413.373	6.24611
T05H4.13d.1	2213	1930.36	211.937	3.35335
T08B1.3.1	1383	1100.36	1029	28.5622
F56D12.1a.1	1837	1554.36	0	0
F56D12.1a.2	1936	1653.36	2063.74	38.1239
F56D12.1b.1	2402	2119.36	109.263	1.57463
F56D12.1c.1	1185	902.363	0	0
F56D12.1d.1	1272	989.363	0	0
F45H10.1a.1	1756	1473.36	1569.56	32.5372
F45H10.1b.1	866	583.363	484.741	25.3794
F13D12.4a.1	1761	1478.36	46883.8	968.621
F13D12.4b.1	342	94.5186	25.1505	8.1272
F01F1.6.1	1826	1543.36	163.174	3.2292
F01F1.6.2	1966	1683.36	913.826	16.5805
C54D1.4.1	1654	1371.36	416	9.26515
F42G9.5a.1	2156	1873.36	1113.44	18.1533
F42G9.5b.1	1589	1306.36	53.8084	1.25805
F42G9.5b.2	1575	1292.36	108.752	2.5702
Y69F12A.2a.1	1541	1258.36	1720.76	41.7664
Y69F12A.2b.1	1584	1301.36	869.235	20.4009
C01F6.5.1	774	491.629	526	32.6783
F23B2.6.1	786	503.629	433	26.2596
M18.7a.1	965	682.363	1731.95	77.5233
M18.7b	1139	856.363	1236.05	44.0848
F36A4.7.1	6020	5737.36	12868	68.5031
C05E11.4.1	1739	1456.36	44	0.922772
F49E11.3.1	1754	1471.36	86	1.78521
M195.3.1	2384	2101.36	531	7.718
C05E11.5.1	2110	1827.36	6042	100.987
R13G10.2.1	2641	2358.36	408	5.28398
B0019.1.1	2356	2073.36	827	12.1826
F25C8.2a.1	1756	1473.36	100.762	2.08881
F25C8.2b.1	1098	815.363	20.2381	0.758106
ZK973.6a.1	25858	25575.4	14351.9	17.1395
ZK973.6b.1	22709	22426.4	32282.7	43.9666
ZK973.6c.1	25617	25334.4	1837.43	2.21519
C08B6.9.1	1242	959.363	538	17.1282
K06H7.6.1	2312	2029.36	404	6.08041
F15H10.3a.1	664	382.143	0	0
F15H10.3b.1	639	357.4	0	0
F15H10.3c.1	639	357.4	0	0
F15H10.3d.1	679	397.104	17	1.30754
F35G12.9.1	469	195.892	137	21.3607
F46F3.4a.1	2754	2471.36	2070.95	25.5944
F46F3.4b.1	2538	2255.36	359.574	4.86949
F46F3.4c.1	1302	1019.36	0	0
F46F3.4d.1	1026	743.363	0.475045	0.0195184
VF36H2L.1.1	1104	821.363	330	12.2713
ZC434.6a.1	2375	2092.36	548.665	8.00906
ZC434.6b.1	2384	2101.36	17.3351	0.251963
C42D8.8a.1	2741	2458.36	31526.2	391.685
C42D8.8b.1	2055	1772.36	219.798	3.78776
F55A12.7.1	1602	1319.36	2072	47.9664
T05H10.2.1	1237	954.363	652	20.8663
W03G9.4.1	2097	1814.36	2007	33.7858
K04G2.8a.1	3901	3618.36	847.251	7.15174
K04G2.8b.1	3894	3611.36	25.7493	0.217774
K04G2.8c.1	2679	2396.36	0	0
F02E8.3.1	564	284.392	283	30.3935
Y105E8A.9.1	3020	2737.36	2850	31.7998
F29G9.3.1	615	333.986	292	26.7034
Y71H2B.10.1	3115	2832.36	3118	33.6232
T20B5.1.1	3246	2963.36	2773	28.5809
W09G10.4a.1	4129	3846.36	1816	14.4204
W09G10.4b.1	3053	2770.36	0	0
R11A5.1a.1	2945	2662.36	717.494	8.23118
R11A5.1b.1	2915	2632.36	844.663	9.80052
F53H8.1.1	1413	1130.36	340	9.18697
Y48G8AL.14.1	1467	1184.36	1242.41	32.0399
W04G3.4.1	2276	1993.36	291	4.4588
K08D9.3a.1	2346	2063.36	34.6848	0.513423
K08D9.3b	1683	1400.36	73.3972	1.60085
K08D9.3c	1272	989.363	0	0
K08D9.3d	1026	743.363	0	0
K08D9.3e.1	642	360.364	0	0
K08D9.3f.1	2347	2064.36	0	0
F32A5.5a.1	1032	749.363	1533.96	62.5219
F32A5.5b.1	983	700.363	0	0
C01G6.1a.1	1121	838.363	8976.74	327.038
C01G6.1b.1	1221	938.363	9451.93	307.653
C01G6.1b.2	1418	1135.36	550.331	14.8047
Y69E1A.7a.1	1392	1109.36	7.86782	0.216617
Y69E1A.7b.1	969	686.363	2.13218	0.0948813
Y69E1A.7c.1	1285	1002.36	0	0
F40F9.9.1	1076	793.363	1090	41.963
C35A5.1.1	1038	755.363	25	1.01087
C32C4.2a.1	911	628.363	3.1165	0.151484
C32C4.2b.1	1041	758.363	54.8835	2.21043
C32C4.2c.1	1074	791.363	0	0
M02F4.8a.1	1042	759.363	3690.53	148.44
M02F4.8a.2	1239	956.363	825.707	26.3703
M02F4.8b.1	909	626.363	3201.76	156.126
K02G10.7a.1	1302	1019.36	303.856	9.10437
K02G10.7b.1	1135	852.363	0	0
K02G10.7b.2	1714	1431.36	168.379	3.59295
K02G10.7c.1	156	15.6477	0	0
K02G10.7d.1	498	222.471	61.7648	8.47967
K07A1.16a.1	975	692.363	215	9.48454
K07A1.16a.2	936	653.363	0	0
K07A1.16b.1	192	24.0952	0	0
ZK1321.3.1	983	700.363	948	41.3425
ZK525.2.1	900	617.363	904	44.7239
ZK1320.6.1	1710	1427.36	764	16.3482
F01G4.2a.1	936	653.363	2327	108.781
F01G4.2b.1	255	47.3856	4.87434e-06	3.14181e-06
B0336.2.1	1173	890.363	0.0203144	0.000696865
B0336.2.2	1308	1025.36	4774.98	142.235
F57H12.1.1	940	657.363	3405	158.206
Y116A8C.12.1	639	357.4	879	75.1184
F31A9.3.1	1074	791.363	51	1.96837
C01C7.1a.1	3580	3297.36	232.517	2.15377
C01C7.1b.1	3566	3283.36	3131.48	29.1302
F54C9.10.1	976	693.363	402	17.7083
F19H8.3.1	1586	1303.36	360	8.43624
ZK632.8.1	706	423.942	81	5.83567
F45E4.1.1	730	447.724	23	1.56902
Y57G11C.13.1	984	701.363	1570	68.3704
C38D4.8.1	1417	1134.36	112	3.01563
F53H8.2.1	1530	1247.36	1094	26.7877
W02B12.6a.1	2983	2700.36	506.684	5.73095
W02B12.6b	2356	2073.36	150.316	2.21432
F28H1.3.1	3126	2843.36	5207	55.9328
F28H1.3.2	3125	2842.36	0	0
C15F1.6.1	1059	776.363	2792	109.84
Y71F9AL.16.1	1598	1315.36	3500	81.2707
K07C5.1.1	1506	1223.36	1800	44.9395
Y79H2A.6a.1	1380	1097.36	1970.66	54.8495
Y79H2A.6b.1	1401	1118.36	272.343	7.4378
Y6D11A.1.1	1764	1481.36	522	10.7627
Y37D8A.1.1	693	410.983	718	53.3595
C35D10.16.1	756	473.677	814	52.4872
M01B12.3.1	640	358.4	381	32.469
F35G12.10.1	1026	743.363	292	11.9976
F02E8.1.1	1181	898.363	5250.78	178.519
F02E8.1.2	1065	782.363	9692.22	378.379
Y53F4B.15.1	1339	1056.36	887	25.6461
K07A12.3.1	476	202.254	746	112.656
C53B7.4.1	497	221.539	2711	373.758
B0252.2.1	1790	1507.36	447.243	9.06227
ZK455.4.1	1933	1650.36	926	17.1373
W03G1.7a.1	1912	1629.36	285.436	5.3506
W03G1.7b.1	1638	1355.36	126.564	2.85211
Y39B6A.20.1	1191	908.363	118114	3971.49
T18H9.2.1	1381	1098.36	5334	148.326
H22K11.1.1	1462	1179.36	33370	864.212
R12H7.2.1	1460	1177.36	2091	54.2444
F21F8.3.1	1240	957.363	26671	850.892
F21F8.7.1	1275	992.363	59269	1824.18
K08F8.2.1	1408	1125.36	298	8.08789
T04C10.4.1	1026	743.363	3893.97	159.994
T04C10.4.2	1080	797.363	25.0264	0.958638
F45E6.2.1	2402	2119.36	1312	18.9078
C07G2.2a.1	2155	1872.36	3395.17	55.3839
C07G2.2b.1	2161	1878.36	5.3457	0.0869234
C07G2.2b.2	2083	1800.36	943.111	15.9998
C07G2.2c.1	2277	1994.36	2946.26	45.121
C07G2.2d.1	2204	1921.36	1614.29	25.6617
C07G2.2d.2	2362	2079.36	224.817	3.30226
C07G2.2d.3	2316	2033.36	0	0
C07G2.2d.4	2057	1774.36	0	0
F26D10.9a.1	1965	1682.36	3545	64.3588
F26D10.9b.1	534	255.687	0	0
C38C6.2a.1	2230	1947.36	1469	23.0402
C38C6.2b.1	1812	1529.36	0	0
C38C6.2c.1	576	295.896	0	0
T06E4.3a.1	7735	7452.36	723.116	2.96364
T06E4.3a.2	7759	7476.36	421.412	1.72159
T06E4.3c.1	3174	2891.36	168.471	1.77965
Y48G1BL.2a.1	7581	7298.36	1206.07	5.04731
Y48G1BL.2b.1	5106	4823.36	381.927	2.41848
W04D2.1a.1	3168	2885.36	805.371	8.52525
W04D2.1b.1	3092	2809.36	1743.9	18.9595
W04D2.1c.1	2550	2267.36	695.725	9.37191
W04D2.1d.1	2472	2189.36	0	0
C34E10.6.1	1929	1646.36	66494.8	1233.6
C34E10.6.2	1846	1563.36	14.2025	0.277471
F27C1.7a.1	859	576.363	0	0
F27C1.7a.2	952	669.363	254.917	11.6318
F27C1.7a.3	953	670.363	8756.4	398.958
F27C1.7a.4	959	676.363	279.533	12.6231
F27C1.7b.1	700	417.942	279.147	20.4
D2045.1a.1	3613	3330.36	4118.8	37.7738
D2045.1b.1	1913	1630.36	1503.62	28.1686
D2045.1c.1	3529	3246.36	456.744	4.29722
D2045.1d.1	3213	2930.36	1058.84	11.0362
B0207.12a.1	2118	1835.36	319.498	5.3169
B0207.12a.2	2017	1734.36	231.997	4.08558
B0207.12a.3	2369	2086.36	55.2491	0.808811
B0207.12b.1	1461	1178.36	60.5498	1.56944
B0207.12c.1	2279	1996.36	242.706	3.71324
R11G10.1a.1	2227	1944.36	421.265	6.61743
R11G10.1b.1	1668	1385.36	549.735	12.12
R11G10.1c.1	540	261.321	0	0
B0464.7.1	540	261.321	501	58.5564
F57B10.11.1	717	434.856	318	22.3354
Y71F9AR.1.1	3441	3158.36	1744	16.8654
C54D1.6.1	2592	2309.36	535	7.07576
C05D2.4a.1	1615	1332.36	640.547	14.6839
C05D2.4b.1	1644	1361.36	175.453	3.93638
K08F8.4a.1	1609	1326.36	3417.21	78.6901
K08F8.4b.1	1479	1196.36	971.795	24.8098
Y105E8A.5.1	1984	1701.36	280	5.02658
F20D12.3.1	2330	2047.36	257	3.83398
T25F10.5.1	1719	1436.36	596	12.6734
T13C5.5.1	1085	802.363	1640	62.4287
M7.3.1	2056	1773.36	241	4.15079
T19E7.3a.1	1335	1052.36	598	17.3559
T19E7.3b.1	357	104.567	0	0
C54C6.2.1	2065	1782.36	1851	31.7192
T27F2.3.1	567	287.306	368	39.1215
T27F2.3.2	669	387.104	0	0
C50B8.2.1	1044	761.363	45	1.80523
C09G5.6.1	3010	2727.36	69	0.772712
F59E12.12.1	994	711.363	10	0.429359
F56C11.1.1	4667	4384.36	1036.79	7.22262
F56C11.1.2	5185	4902.36	208.208	1.29719
K04F10.4a.1	2326	2043.36	192.428	2.8763
K04F10.4b.1	2216	1933.36	281.401	4.44553
K04F10.4c.1	2630	2347.36	60.0352	0.781155
K04F10.4d.1	3215	2932.36	1463.35	15.242
K04F10.4d.2	3259	2976.36	37.4186	0.383984
K04F10.4e.1	2175	1892.36	4.7262	0.0762816
K04F10.4f.1	4547	4264.36	577.124	4.13358
K04F10.4g.1	3149	2866.36	552.497	5.88722
K04F10.4h.1	2802	2519.36	609.491	7.38905
K04F10.4i.1	2151	1868.36	466.597	7.62767
K04F10.4j.1	2562	2279.36	1003.93	13.4524
F45G2.5.1	747	464.724	1	0.0657229
Y73B6BL.34.1	996	713.363	3	0.128446
F23B12.8a.1	2986	2703.36	0.559142	0.00631727
F23B12.8b.1	3097	2814.36	468.441	5.08377
F13H8.10a.1	3744	3461.36	421.061	3.71543
F13H8.10b.1	1958	1675.36	233.177	4.25097
F13H8.10c.1	1844	1561.36	0	0
F13H8.10c.2	1825	1542.36	263.762	5.22321
F13H8.10c.3	3654	3371.36	0	0
F13H8.10c.4	3081	2798.36	0	0
F13H8.10c.5	2856	2573.36	0	0
F13H8.10c.6	1975	1692.36	2.98377e-05	5.38496e-07
F54B11.6.1	870	587.363	374	19.4481
F23H11.5.1	461	188.75	4579	740.96
C36A4.8a.1	1955	1672.36	90.9779	1.66156
C36A4.8b.1	354	102.543	0	0
C36A4.8c.1	1973	1690.36	46.0221	0.831568
K04C2.4.1	2186	1903.36	114	1.82934
C53B4.7a.1	1334	1051.36	663.425	19.2731
C53B4.7b.1	1435	1152.36	18.0687	0.478904
C53B4.7c.1	1107	824.363	0	0
C53B4.7d.1	1420	1137.36	60.0298	1.61205
C53B4.7e.1	1331	1048.36	61.4765	1.79106
Y39E4B.9a.1	1334	1051.36	33.3204	0.967987
Y39E4B.9a.2	1257	974.363	111.154	3.48431
Y39E4B.9b.1	1080	797.363	0	0
Y39E4B.9c.1	1203	920.363	0	0
Y39E4B.9d.1	1298	1015.36	21.5254	0.647502
B0464.4a.1	2059	1776.36	59.2953	1.01953
B0464.4a.2	2009	1726.36	25.7794	0.456093
B0464.4a.3	2143	1860.36	1452.93	23.8538
B0464.4b	1488	1205.36	0	0
Y73E7A.7a.1	1462	1179.36	489	12.6641
Y73E7A.7a.2	1393	1110.36	0	0
Y73E7A.7b.1	853	570.363	0	0
T12G3.8a.1	1070	787.363	128	4.96531
T12G3.8b.1	696	413.983	0	0
F45E12.2a.1	2558	2275.36	79.4184	1.06606
F45E12.2b.1	2603	2320.36	643.582	8.47148
F56A3.5.1	1142	859.363	27	0.959619
Y79H2A.1a.1	1804	1521.36	25719	516.336
Y79H2A.1c.1	1548	1265.36	0	0
F15D4.1.1	5229	4946.36	760	4.69288
R06C7.8.1	3062	2779.36	587	6.45066
F57B9.5.1	1563	1280.36	12708	303.149
C23H4.1.1	1941	1658.36	22134.9	407.67
C23H4.1.2	2012	1729.36	13031.1	230.148
F54D8.4a.1	1112	829.363	165.613	6.09904
F54D8.4b.1	630	348.611	39.387	3.45083
D1022.8.1	1198	915.363	322	10.7442
K05G3.3.1	1080	797.363	4755	182.14
R01E6.3a.1	1079	796.363	571.838	21.9318
R01E6.3b.1	987	704.363	13709.2	594.464
R173.1.1	1091	808.363	869	32.8341
T28F2.3.1	1436	1153.36	210.956	5.58647
T28F2.3.2	1378	1095.36	1301.04	36.2782
C13C12.1a.1	728	445.769	20.7972	1.42497
C13C12.1b.1	871	588.363	765.801	39.7541
C18E9.1.1	756	473.677	1573	101.428
M02B7.6a.1	901	618.363	138.839	6.85772
M02B7.6b.1	700	417.942	208.161	15.2123
T07G12.1a.1	1488	1205.36	515.903	13.0726
T07G12.1b.1	1101	818.363	1169.07	43.6321
T07G12.1b.2	1031	748.363	0	0
T07G12.1c.1	549	269.84	54.0272	6.11529
C01G6.8a.1	3281	2998.36	746.659	7.60589
C01G6.8b.1	3232	2949.36	517.607	5.36023
C01G6.8c.1	2907	2624.36	1680.73	19.5608
C01G6.8c.2	2796	2513.36	8.60443e-08	1.04563e-09
D2024.6.1	1131	848.363	2049	73.7686
M106.5.1	1260	977.363	4004	125.127
F41G4.2a.1	4602	4319.36	1494.97	10.5712
F41G4.2b.1	1709	1426.36	1695.03	36.296
W01C8.6.1	1943	1660.36	433.135	7.96768
W01C8.6.2	2002	1719.36	26.8649	0.477232
B0432.5a.1	1683	1400.36	0	0
B0432.5b.1	2389	2106.36	33.9891	0.492854
B0432.5c.1	1644	1361.36	118.011	2.64764
F32G8.6.1	913	630.363	825	39.9737
T13F2.8a.1	925	642.363	1455.24	69.1935
T13F2.8b.1	381	122.377	13.762	3.43474
C56A3.7a.1	1233	950.363	372.487	11.9711
C56A3.7b.1	960	677.363	45.5133	2.05224
C56A3.7c.1	483	208.576	0	0
C56A3.7d.1	846	563.363	0	0
R10E11.1a.1	7090	6807.36	114.006	0.511517
R10E11.1a.2	6664	6381.36	28.8338	0.138007
R10E11.1b.1	7131	6848.36	9409.13	41.9638
R10E11.1c.1	7005	6722.36	9249.74	42.0261
C54D2.5a.1	5919	5636.36	223.43	1.21075
C54D2.5a.2	6218	5935.36	1515.96	7.80102
C54D2.5a.3	6133	5850.36	272.369	1.42196
C54D2.5c.1	6181	5898.36	943.07	4.88342
C54D2.5d.1	6273	5990.36	0	0
C54D2.5e.1	6150	5867.36	141.958	0.738975
C54D2.5g.1	5580	5297.36	281.215	1.6214
T28F2.5.1	2089	1806.36	2221	37.5539
Y56A3A.20.1	1311	1028.36	1862	55.3025
Y73F8A.6.1	1066	783.363	5295	206.45
F26E4.9.1	487	212.295	1456.4	209.532
F26E4.9.2	826	543.527	4041.6	227.114
T10B9.10.1	1623	1340.36	154	3.50921
F08F3.7.1	1561	1278.36	989	23.6295
ZK177.5.1	1551	1268.36	227	5.4663
ZC518.3a.1	3157	2874.36	1084.78	11.5268
ZC518.3b.1	3180	2897.36	1085.43	11.4423
ZC518.3c.1	3153	2870.36	407.093	4.3318
ZC518.3c.2	3028	2745.36	0	0
ZC518.3d.1	3531	3248.36	156.697	1.47336
ZC518.3e.1	1203	920.363	0	0
T05C12.7.1	1868	1585.36	9389	180.885
T21B10.7.1	1926	1643.36	9521	176.954
K01C8.10.1	1854	1571.36	6204	120.589
K01C8.10.2	1853	1570.36	0	0
C07G2.3.1	1931	1648.36	11794	218.534
F01F1.8a.1	1905	1622.36	6220.96	117.117
F01F1.8a.2	1908	1625.36	394.041	7.40462
F01F1.8b.1	1290	1007.36	0	0
C43E11.10.1	1754	1471.36	335	6.95403
C17G10.4a.1	2535	2252.36	740.948	10.0476
C17G10.4c.1	2533	2250.36	1825.39	24.7751
C17G10.4d.1	2735	2452.36	62.8759	0.783089
C17G10.4e.1	2733	2450.36	525.845	6.55449
C17G10.4g.1	2558	2275.36	1398.61	18.774
C17G10.4h.1	2613	2330.36	297.334	3.89703
K06A5.7.1	2261	1978.36	300	4.63156
F16B4.8a.1	2088	1805.36	230.567	3.90071
F16B4.8b.1	1963	1680.36	0	0
F16B4.8c.1	1122	839.363	0	0
F16B4.8d	1526	1243.36	36.4334	0.894981
ZK637.11.1	1138	855.363	3	0.107123
R05H5.2.1	953	670.363	0	0
R07G3.1.1	1346	1063.36	5616	161.308
